SMILES_curated,CAS,logC50,n_measurements
CC(C)(C)[C@H](O)[C@H](Cc1ccc(Cl)cc1)n1cncn1,76738-62-0,1.3117538610557542,1
CC(C)(C)c1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,732-26-3,-1.2111248842245832,1
CC(C)(C)c1ccc(C(=O)O)cc1,98-73-7,1.5185139398778875,1
CC(C)(C)c1ccc(C(N)=O)cc1,56108-12-4,1.503790683057181,1
CC(C)(C)c1ccc(CCOc2ncnc3ccccc23)cc1,120928-09-8,-2.408935392973501,1
CC(C)(C)c1ccc(CSc2cnn(C(C)(C)C)c(=O)c2Cl)cc1,96489-71-3,-3.136677139879544,1
CC(C)(C)c1ccc(O)c(C(C)(C)C)c1,96-76-4,-0.1674910872937636,1
CC(C)(C)c1ccc(O)cc1,98-54-4,0.8388490907372553,1
CC(C)(C)c1ccc(OP(=O)(Oc2ccccc2)Oc2ccccc2)c(C(C)(C)C)c1,100473-08-3,0.2304489213782739,1
CC(C)(C1CCC(O)CC1)C1CCC(O)CC1,80-04-6,1.2787536009528289,1
CC(C)(O)C#N,75-86-5,-0.2441251443275086,1
CC(C)(OOC(C)(C)c1ccccc1)c1ccccc1,80-43-3,-0.3279021420642826,1
CC(C)(c1cc(Br)c(O)c(Br)c1)c1cc(Br)c(O)c(Br)c1,79-94-7,-0.1487416512809247,1
CC(C)(c1ccc(O)cc1)c1ccc(O)cc1,80-05-7,0.6720978579357175,1
CC(C)(c1ccc(OCCO)cc1)c1ccc(OCCO)cc1,901-44-0,1.3222192947339193,1
CC(C)(c1ccccc1)c1ccc(O)cc1,599-64-4,0.0791812460476248,1
CC(C)=C1C=C2CC[C@@H]3[C@](C)(CCC[C@@]3(C)C(=O)O)[C@H]2CC1,471-77-2,0.2329961103921538,1
CC(C)=CC1C(C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2)C1(C)C,39515-40-7,-1.3124710387853658,1
CC(C)=CC1C(C(=O)OCN2C(=O)C3=C(CCCC3)C2=O)C1(C)C,7696-12-0,-0.9208187539523752,1
CC(C)=CC1C(C(=O)OCc2ccc(C)cc2C)C1(C)C,70-38-2,-1.619788758288394,1
CC(C)=CC1C(C(=O)OCc2cccc(Oc3ccccc3)c2)C1(C)C,26002-80-2,-1.978810700930062,1
CC(C)=CC1C(C(=O)OCc2coc(Cc3ccccc3)c2)C1(C)C,10453-86-8,-2.721246399047171,1
CC(C)=CCC/C(C)=C/CC/C(C)=C/CO,4602-84-0,0.255272505103306,1
CC(C)=CCC/C(C)=C/CN(C/C=C(\C)CCC=C(C)C)CCO,19902-04-6,-0.9507819773298184,1
CC(C)=CCC/C(C)=C/CO,106-24-1,0.414973347970818,1
CC(C)=CCO,556-82-1,1.6720978579357175,1
CC(C)=C[C@@H]1C(C(=O)OCc2coc(Cc3ccccc3)c2)C1(C)C,28434-01-7,-1.853871964321762,1
CC(C)=O,67-64-1,4.041392685158225,1
CC(C)C(=O)Nc1ccc([N+](=O)[O-])c(C(F)(F)F)c1,13311-84-7,0.2833012287035495,1
CC(C)C(=O)O,22228-82-6,2.45178643552429,1
CC(C)C(C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1)c1ccc(Cl)cc1,51630-58-1,-1.8239087409443189,1
CC(C)C(C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1)c1ccc(OC(F)F)cc1,70124-77-5,-3.2218487496163566,1
CC(C)C(C(=O)O[C@@H](C#N)c1cccc(Oc2ccccc2)c1)c1ccc(Cl)cc1,66267-77-4,-1.3466266959611441,2
CC(C)C(C(=O)O[C@H](C#N)c1cccc(Oc2ccccc2)c1)c1ccc(Cl)cc1,67614-32-8,-0.978810700930062,1
CC(C)C(Nc1ccc(C(F)(F)F)cc1Cl)C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1,69409-94-5,-2.463507627686035,2
CC(C)C(O)(c1ccc(OC(F)(F)F)cc1)c1cncnc1,56425-91-3,1.1818435879447726,1
CC(C)C1(C)N=C(c2nc3ccccc3cc2C(=O)O)NC1=O,81335-37-7,2.447158031342219,1
CC(C)C1(C)N=C(c2ncccc2C(=O)O)NC1=O,81334-34-1,1.2410936567722937,2
CC(C)C1CCC(Cc2ccc(Cl)cc2)C1(O)Cn1cncn1,125225-28-7,0.1846914308175988,1
CC(C)CC(C)(c1ccc(O)cc1)c1ccc(O)cc1,6807-17-6,0.4313637641589873,1
CC(C)CC(C)Nc1ccc(Nc2ccccc2)cc1,793-24-8,-1.537602002101044,1
CC(C)CC(C)c1sccc1NC(=O)c1cn(C)nc1C(F)(F)F,183675-82-3,0.1789769472931694,1
CC(C)CCCCCCCCCCNCCCCCCCCCCC(C)C,57157-80-9,3.113943352306837,1
CC(C)CCCCCCCO,25339-17-7,0.7708520116421442,1
CC(C)CCCCCCCOP(=O)(Oc1ccccc1)Oc1ccccc1,29761-21-5,2.620524075335822,2
CC(C)CCCCCOC(=O)C(C)Oc1cc(Cl)c(Cl)cc1Cl,32534-95-5,1.3424226808222062,1
CC(C)CCCCCOC(=O)COc1cc(Cl)c(Cl)cc1Cl,25168-15-4,1.230448921378274,1
CC(C)CCCCCOC(=O)COc1ccc(Cl)cc1Cl,25168-26-7,1.255272505103306,1
CC(C)CCOCCC(C)C,544-01-4,0.8325089127062363,1
CC(C)CO,78-83-1,3.123851640967086,1
CC(C)COC(=S)S,25306-75-6,1.845098040014257,1
CC(C)N,75-31-0,3.731588765186739,1
CC(C)N(C(=O)CCl)c1ccccc1,1918-16-7,-0.5528419686577808,1
CC(C)N(C(=O)COc1nnc(C(F)(F)F)s1)c1ccc(F)cc1,142459-58-3,0.3541084391474008,1
CC(C)N(C(=O)SCC(Cl)=C(Cl)Cl)C(C)C,2303-17-5,0.0,1
CC(C)N1C(=O)c2ccccc2NS1(=O)=O,25057-89-0,3.306508415141841,2
CC(C)NC(=O)n1cc(O)n(-c2cc(Cl)cc(Cl)c2)c1=O,36734-19-7,0.7993405494535817,1
CC(C)NC(C)C,108-18-9,3.204119982655925,1
CC(C)NCC(O)COc1cccc2ccccc12,525-66-6,1.0569048513364727,1
CC(C)Nc1nc(Cl)nc(NC2CC2)n1,22936-86-3,-0.0259490972071226,1
CC(C)O,67-63-0,4.017033339298781,1
CC(C)OC(=O)C(C(=O)OC(C)C)=C1SCCS1,50512-35-1,0.9084850188786496,1
CC(C)OC(=O)COc1ccc(Cl)cc1Cl,94-11-1,-0.5086383061657274,1
CC(C)OC(=O)Nc1cccc(Cl)c1,101-21-3,0.4800069429571506,1
CC(C)OC(=O)Nc1ccccc1,122-42-9,1.462397997898956,1
CC(C)OC(=S)S,140-93-2,1.255272505103306,1
CC(C)OC(C)C,108-20-3,3.845098040014257,1
CC(C)OCCO,109-59-1,3.737987326333431,1
CC(C)OP(=O)(OC(C)C)SCc1ccccc1,26087-47-8,1.130333768495006,1
CC(C)OP(=S)(OC(C)C)SCCNS(=O)(=O)c1ccccc1,741-58-2,0.505149978319906,1
CC(C)OP(C)(=O)OC(C)C,1445-75-6,2.682145076373832,1
CC(C)Oc1cc(-n2nc(C(C)(C)C)oc2=O)c(Cl)cc1Cl,19666-30-9,0.0,1
CC(C)Oc1cccc(NC(=O)c2ccccc2C(F)(F)F)c1,66332-96-5,0.6812412373755872,1
CC(C)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O,118-95-6,-0.619788758288394,1
CC(C)c1ccc(C=O)cc1,122-03-2,0.8208579894396999,1
CC(C)c1ccc(N)cc1,99-88-7,1.662757831681574,1
CC(C)c1ccc2c(c1)CC[C@H]1[C@](C)(C(=O)O)CCC[C@]21C,1740-19-8,0.021189299069938,1
CC(C)c1cccc(C(C)C)c1N,24544-04-5,1.1522883443830565,1
CC(C)c1cccc2ccccc12,29253-36-9,-0.1307682802690238,1
CC(C)c1ccccc1C(C)C,25321-09-9,-0.0409586076789063,1
CC(C)c1ccccc1OP(=O)(Oc1ccccc1)Oc1ccccc1,96300-97-9,-0.0457574905606751,1
CC(C1CC1)C(O)(Cn1cncn1)c1ccc(Cl)cc1,94361-06-5,1.2787536009528289,1
CC(CCO)CC(C)(C)C,3452-97-9,1.4471580313422192,1
CC(CCl)[N+](=O)[O-],2425-66-3,-0.958607314841775,1
CC(CN1COC(C)C1)OCOCOCO,97553-90-7,2.447158031342219,1
CC(COc1ccc(C(C)(C)C)cc1)OS(=O)OCCCl,140-57-8,-0.4814860601221125,1
CC(COc1ccc(Oc2ccccc2)cc1)Oc1ccccn1,95737-68-1,-0.3467874862246563,1
CC(Cc1ccc(C(C)(C)C)cc1)CN1C[C@@H](C)O[C@@H](C)C1,67564-91-4,0.3242824552976926,1
CC(Cl)(Cl)C(=O)O,75-99-0,3.371715682573342,2
CC(Cl)(Cl)C(=O)OCCOc1cc(Cl)c(Cl)cc1Cl,136-25-4,0.7160033436347992,1
CC(Cl)(Cl)Cl,71-55-6,2.0211892990699383,1
CC(Cl)CCl,78-87-5,1.489318474192237,2
CC(Cl)Cl,1300-21-6,2.7403626894942437,1
CC(N)=O,60-35-5,4.123851640967086,1
CC(N)=S,62-55-5,2.4313637641589874,1
CC(N)CN,78-90-0,3.103803720955957,1
CC(O)(c1ccc(Cl)cc1)c1ccc(Cl)cc1,80-06-8,-0.0457574905606751,1
CC(O)C#N,78-97-7,-0.1487416512809247,1
CC(O)C(=O)O,50-21-5,2.41161970596323,1
CC(O)CCl,127-00-4,2.3891660843645326,1
CC(O)CN,78-96-6,3.401400540781544,1
CC(O)CN(CC(C)O)CC(C)O,6753-47-5,2.258716720448887,2
CC(O)CNCC(C)O,110-97-4,3.167317334748176,1
CC(O)CO,57-55-6,4.532754378992498,1
CC(O)CSS(C)(=O)=O,30388-01-3,1.4471580313422192,1
CC(Oc1cc(Cl)c(Cl)cc1Cl)C(=O)O,93-72-1,0.9822712330395684,1
CC(Oc1ccc(Cl)cc1Cl)C(=O)O,120-36-5,2.0856144983625255,2
CC(Oc1ccc(Oc2cnc3cc(Cl)ccc3n2)cc1)C(=O)O,100646-51-3,-0.6777807052660807,1
CC(Oc1ccc(Oc2nc3ccc(Cl)cc3o2)cc1)C(=O)O,95617-09-7,-0.6298186552528781,2
CC(Oc1ccc(Oc2ncc(C(F)(F)F)cc2Cl)cc1)C(=O)O,69806-34-4,2.583198773968623,1
CC(c1ccccc1)c1cc(C(C)c2ccccc2)c(O)c(C(C)c2ccccc2)c1,18254-13-2,0.7481880270062005,1
CC(c1ccccc1)c1ccc(O)c(C(C)c2ccccc2)c1,2769-94-0,0.7481880270062005,1
CC/C=C/CCO,928-97-2,2.432969290874406,1
